"","ID","Gender","Age","Race","Country_of_birth","Citizenship_status","Family_menbers","Marital_status","Family_income"
"3752",77308,"2",51,"3","1","1",2,"1","15"
"3753",77309,"2",1,"1","1","1",4,"1","6"
"3754",77310,"1",26,"1","2","2",2,"6","8"
"3755",77311,"1",38,"1","1","1",3,"1","6"
"3756",77312,"2",0,"3","2","2",3,"1","15"
"3757",77313,"2",67,"1","2","1",3,"5","6"
"3758",77314,"1",76,"4","1","1",3,"1","9"
"3759",77315,"2",20,"3","1","1",2,"2","7"
"3760",77316,"2",16,"2","2","1",4,"1","2"
"3761",77317,"2",77,"4","1","1",2,"1","4"
"3762",77318,"1",62,"4","1","1",1,"5","3"
"3763",77319,"1",51,"3","1","1",1,"3","14"
"3764",77320,"2",35,"4","1","1",6,"5","4"
"3765",77321,"1",7,"3","1","1",3,"5","77"
"3766",77322,"1",24,"4","2","1",1,"5","6"
"3767",77323,"2",28,"7","1","1",6,"6","14"
"3768",77324,"2",4,"4","1","1",7,"5","13"
"3769",77325,"1",16,"2","2","2",5,"1","8"
"3770",77326,"1",12,"7","1","1",3,"77","8"
"3771",77327,"1",2,"1","1","1",6,"1","15"
"3772",77328,"2",43,"6","2","2",2,"1","15"
"3773",77329,"1",4,"3","1","1",5,"1","15"
"3774",77330,"1",11,"6","2","2",4,"1","5"
"3775",77331,"1",54,"3","1","1",5,"1","15"
"3776",77332,"1",36,"3","1","1",1,"5","3"
"3777",77333,"1",70,"3","1","1",2,"1","15"
"3778",77334,"1",2,"1","1","1",5,"1","6"
"3779",77335,"2",10,"3","1","1",3,"3","1"
"3780",77336,"1",48,"4","1","1",1,"3","6"
"3781",77337,"2",23,"1","2","2",1,"1","2"
"3782",77338,"1",6,"1","1","1",5,"6","2"
"3783",77339,"2",41,"7","1","1",3,"1","8"
"3784",77340,"2",39,"3","1","1",4,"1","15"
"3785",77341,"2",49,"3","1","1",1,"4","7"
"3786",77342,"1",37,"3","1","1",3,"1","15"
"3787",77343,"1",2,"1","1","1",6,"1","4"
"3788",77344,"2",0,"1","1","1",6,"6","6"
"3789",77345,"1",1,"3","1","1",4,"5","6"
"3790",77346,"1",30,"2","1","1",5,"1","9"
"3791",77347,"2",80,"3","1","1",1,"2","10"
"3792",77348,"1",78,"3","1","1",2,"1","15"
"3793",77349,"2",53,"6","2","1",4,"1","15"
"3794",77350,"1",12,"1","1","1",5,"1","5"
"3795",77351,"2",80,"2","1","1",4,"3","9"
"3796",77352,"1",3,"3","1","1",4,"6","5"
"3797",77353,"2",19,"1","1","1",3,"1","2"
"3798",77354,"2",80,"3","2","2",1,"2","4"
"3799",77355,"2",71,"4","1","1",2,"1","3"
"3800",77356,"2",6,"3","1","1",3,"1","6"
"3801",77357,"2",17,"3","1","1",2,"3","5"
"3802",77358,"2",16,"6","2","2",4,"1","15"
"3803",77359,"2",2,"4","1","1",2,"5","2"
"3804",77360,"1",41,"3","1","1",6,"1","4"
"3805",77361,"2",3,"3","1","1",3,"1","14"
"3806",77362,"2",75,"3","1","1",2,"1","7"
"3807",77363,"2",8,"3","1","1",4,"1","15"
"3808",77364,"2",66,"3","1","1",2,"1","6"
"3809",77365,"1",23,"6","1","1",6,"1","15"
"3810",77366,"1",6,"7","1","1",5,"3","6"
"3811",77367,"2",48,"4","1","1",3,"3","4"
"3812",77368,"2",43,"1","2","2",5,"1","7"
"3813",77369,"2",21,"2","1","1",2,"5","7"
"3814",77370,"1",14,"4","1","1",7,"6","1"
"3815",77371,"2",70,"3","1","1",2,"1","15"
"3816",77372,"2",7,"3","1","1",4,"1","7"
"3817",77373,"2",74,"3","1","1",2,"1","8"
"3818",77374,"2",46,"4","2","1",3,"3","7"
"3819",77375,"2",1,"1","1","1",6,"1","4"
"3820",77376,"1",60,"1","2","2",2,"1","7"
"3821",77377,"1",36,"1","1","1",1,"6","77"
"3822",77378,"1",2,"1","1","1",5,"1","15"
"3823",77379,"1",12,"4","1","1",3,"1","15"
"3824",77380,"1",46,"3","1","1",3,"1","15"
"3825",77381,"1",28,"3","1","1",4,"3","6"
"3826",77382,"1",1,"1","1","1",4,"6","6"
"3827",77383,"1",80,"4","2","1",3,"1","9"
"3828",77384,"2",14,"4","1","1",4,"3","9"
"3829",77385,"1",52,"3","1","1",1,"5","1"
"3830",77386,"2",31,"6","2","1",4,"1","10"
"3831",77387,"1",44,"3","1","1",2,"1","7"
"3832",77388,"1",46,"4","1","1",2,"1","6"
"3833",77389,"1",4,"3","1","1",2,"5","3"
"3834",77390,"1",3,"7","1","1",4,"6","4"
"3835",77391,"1",36,"3","1","1",2,"1","3"
"3836",77392,"2",54,"2","1","1",4,"1","15"
"3837",77393,"2",63,"6","2","2",7,"1","15"
"3838",77394,"2",60,"4","1","1",2,"1","5"
"3839",77395,"2",18,"4","1","1",2,"4","9"
"3840",77396,"2",31,"3","1","1",5,"1","6"
"3841",77397,"2",3,"1","1","1",5,"1","15"
"3842",77398,"1",62,"2","2","1",4,"4","6"
"3843",77399,"2",80,"3","1","1",2,"1","6"
"3844",77400,"1",80,"3","1","1",2,"1","6"
"3845",77401,"2",0,"4","1","1",4,"1","2"
"3846",77402,"2",5,"2","1","1",4,"1","6"
"3847",77403,"1",10,"4","1","1",4,"1","3"
"3848",77404,"2",8,"4","1","1",5,"1","8"
"3849",77405,"2",53,"3","1","1",1,"4","7"
"3850",77406,"1",8,"7","1","1",5,"6","6"
"3851",77407,"2",44,"3","1","1",2,"2","4"
"3852",77408,"2",79,"2","2","1",1,"2","3"
"3853",77409,"2",38,"3","2","2",5,"1","12"
"3854",77410,"1",6,"6","1","1",4,"1","15"
"3855",77411,"2",44,"3","1","1",7,"1","5"
"3856",77412,"2",9,"3","1","1",6,"1","14"
"3857",77413,"2",2,"3","1","1",3,"1","15"
"3858",77414,"1",32,"1","2","2",4,"1","6"
"3859",77415,"2",72,"3","1","1",2,"1","4"
"3860",77416,"2",14,"3","1","1",5,"1","15"
"3861",77417,"1",80,"3","1","1",3,"1","3"
"3862",77418,"2",8,"4","1","1",5,"1","5"
"3863",77419,"1",24,"3","1","1",1,"5","4"
"3864",77420,"2",18,"1","1","1",7,"4","5"
"3865",77421,"2",5,"6","1","1",4,"1","8"
"3866",77422,"1",80,"6","1","1",2,"1","14"
"3867",77423,"1",74,"3","1","1",4,"1","5"
"3868",77424,"2",40,"6","2","2",2,"1","6"
"3869",77425,"1",66,"4","1","1",1,"2","5"
"3870",77426,"1",14,"2","1","1",2,"3","7"
"3871",77427,"2",0,"3","1","1",4,"1","15"
"3872",77428,"2",33,"4","1","1",7,"5","6"
"3873",77429,"2",76,"4","1","1",2,"1","9"
"3874",77430,"2",1,"3","1","1",4,"1","1"
"3875",77431,"2",22,"4","1","1",3,"6","3"
"3876",77432,"1",4,"2","1","1",4,"4","6"
"3877",77433,"2",58,"6","2","1",3,"2","10"
"3878",77434,"1",5,"6","1","1",3,"1","15"
"3879",77435,"2",10,"2","1","1",5,"1","5"
"3880",77436,"2",58,"3","1","1",3,"1","15"
"3881",77437,"1",6,"4","1","1",4,"1","10"
"3882",77438,"2",41,"1","1","1",3,"3","15"
"3883",77439,"2",14,"7","1","1",7,"1","8"
"3884",77440,"1",19,"1","1","1",4,"1","15"
"3885",77441,"1",11,"2","1","1",3,"4","4"
"3886",77442,"2",17,"4","1","1",6,"3","7"
"3887",77443,"1",64,"3","1","1",3,"1","6"
"3888",77444,"1",63,"4","1","1",1,"3","6"
"3889",77445,"1",20,"3","1","1",1,"5","6"
"3890",77446,"2",26,"3","1","1",4,"1","8"
"3891",77447,"2",8,"4","1","1",6,"1","15"
"3892",77448,"1",26,"4","1","1",1,"5","5"
"3893",77449,"2",1,"4","1","1",4,"4","6"
"3894",77450,"2",58,"6","2","1",5,"2","13"
"3895",77451,"1",61,"6","2","2",5,"1","5"
"3896",77452,"1",27,"1","2","2",3,"6","3"
"3897",77453,"2",57,"7","1","1",4,"1","8"
"3898",77454,"2",3,"4","1","1",6,"1","7"
"3899",77455,"2",18,"1","1","1",7,"5","14"
"3900",77456,"2",62,"1","1","1",2,"1","8"
"3901",77457,"1",12,"3","1","1",2,"5","15"
"3902",77458,"1",50,"4","1","1",1,"1","5"
"3903",77459,"1",29,"1","2","2",1,"5","5"
"3904",77460,"1",45,"1","2","2",1,"3","7"
"3905",77461,"2",20,"4","1","1",1,"5","1"
"3906",77462,"1",6,"4","2","2",2,"3","5"
"3907",77463,"2",50,"1","1","1",4,"3","9"
"3908",77464,"2",36,"7","1","1",3,"3","5"
"3909",77465,"2",21,"2","1","1",4,"1","15"
"3910",77466,"2",22,"3","1","1",2,"1","9"
"3911",77467,"2",4,"1","1","1",7,"1","6"
"3912",77468,"1",54,"4","1","1",3,"1","6"
"3913",77469,"2",67,"3","1","1",2,"1","9"
"3914",77470,"2",25,"3","1","1",1,"5","6"
"3915",77471,"1",62,"3","2","1",2,"1","8"
"3916",77472,"2",0,"2","1","1",6,"3","1"
"3917",77473,"2",31,"6","1","1",3,"1","15"
"3918",77474,"2",14,"3","1","1",5,"1","14"
"3919",77475,"1",48,"3","1","1",3,"1","15"
"3920",77476,"1",9,"4","1","1",7,"3","5"
"3921",77477,"1",59,"6","2","1",1,"5","10"
"3922",77478,"1",4,"2","1","1",5,"1","3"
"3923",77479,"1",4,"4","1","1",4,"5","12"
"3924",77480,"1",11,"4","1","1",5,"4","6"
"3925",77481,"2",54,"1","2","1",4,"1","5"
"3926",77482,"2",5,"1","1","1",6,"1","4"
"3927",77483,"1",45,"3","1","1",6,"1","6"
"3928",77484,"1",40,"6","2","2",6,"1","2"
"3929",77485,"2",49,"4","1","1",2,"3","8"
"3930",77486,"2",5,"6","1","1",3,"1","15"
"3931",77487,"2",18,"1","2","2",1,"1","2"
"3932",77488,"2",80,"3","1","1",1,"2","12"
"3933",77489,"1",74,"3","1","1",1,"6","7"
"3934",77490,"1",3,"3","1","1",6,"6","7"
"3935",77491,"2",35,"4","1","1",3,"2","8"
"3936",77492,"1",34,"4","1","1",3,"6","6"
"3937",77493,"1",6,"4","1","1",7,"6","1"
"3938",77494,"1",80,"3","1","1",2,"1","6"
"3939",77495,"1",10,"7","2","1",3,"3","4"
"3940",77496,"1",1,"2","1","1",6,"1","14"
