"","ID","Gender","Age","Race","Country_of_birth","Citizenship_status","Family_menbers","Marital_status","Family_income"
"2052",75608,"Female",17,"Other_Hispanic","US","US",4,"Married","$20000 and Over"
"2053",75609,"Female",80,"White","US","US",2,"Married","$100000 and Over"
"2054",75610,"Male",56,"White","US","US",2,"Married","$15000 - $19999"
"2055",75611,"Female",38,"Asian","Others","US",5,"Married","$20000 and Over"
"2056",75612,"Female",61,"White","US","US",2,"Married","$75000 - $99999"
"2057",75613,"Female",55,"Black","US","US",2,"Divorced","$20000 and Over"
"2058",75614,"Female",7,"Black","US","US",6,"Separated","$10000 - $14999"
"2059",75615,"Female",1,"White","US","US",5,"Married","$45000 - $54999"
"2060",75616,"Male",30,"White","US","US",1,"Never_married","$15000 - $19999"
"2061",75617,"Male",2,"White","US","US",4,"Married","$75000 - $99999"
"2062",75618,"Male",13,"Mexican_American","US","US",4,"Married","$35000 - $44999"
"2063",75619,"Male",36,"Mexican_American","Others","US",5,"Married","$100000 and Over"
"2064",75620,"Female",52,"Black","US","US",7,"Never_married","$25000 - $34999"
"2065",75621,"Female",59,"Black","US","US",7,"Married","$100000 and Over"
"2066",75622,"Female",8,"White","US","US",4,"Married","$25000 - $34999"
"2067",75623,"Male",9,"White","US","US",3,"Divorced","$35000 - $44999"
"2068",75624,"Female",21,"Other_Hispanic","Others","Other",6,"Married","$45000 - $54999"
"2069",75625,"Female",60,"Black","US","US",2,"Never_married","$10000 - $14999"
"2070",75626,"Female",5,"Other_Hispanic","US","US",4,"Divorced","Refused"
"2071",75627,"Male",1,"Black","US","US",3,"Never_married","$10000 - $14999"
"2072",75628,"Female",70,"White","US","US",2,"Married","$65000 - $74999"
"2073",75629,"Female",9,"Other_Hispanic","US","US",6,"Never_married","$65000 - $74999"
"2074",75630,"Female",59,"Mexican_American","US","US",4,"Married","$25000 - $34999"
"2075",75631,"Female",72,"Black","US","US",3,"Married","$45000 - $54999"
"2076",75632,"Female",3,"Asian","US","US",3,"Divorced","$15000 - $19999"
"2077",75633,"Male",10,"Mexican_American","US","US",5,"Married","Refused"
"2078",75634,"Male",13,"Black","US","US",5,"Married","$35000 - $44999"
"2079",75635,"Female",60,"Black","US","US",5,"Married","$20000 - $24999"
"2080",75636,"Female",35,"White","US","US",3,"Married","$25000 - $34999"
"2081",75637,"Female",70,"White","US","US",5,"Widowed","$100000 and Over"
"2082",75638,"Female",16,"Black","US","US",7,"partner","$100000 and Over"
"2083",75639,"Male",15,"Black","US","US",6,"Married","$45000 - $54999"
"2084",75640,"Female",22,"White","US","US",4,"Divorced","$20000 - $24999"
"2085",75641,"Female",49,"White","US","US",4,"Married","$100000 and Over"
"2086",75642,"Male",1,"Mexican_American","US","US",4,"Separated","$45000 - $54999"
"2087",75643,"Female",43,"Other_Hispanic","Others","Other",2,"Married","$5000 - $9999"
"2088",75644,"Male",69,"Asian","Others","US",7,"Married","Refused"
"2089",75645,"Male",6,"Black","US","US",7,"Married","$20000 - $24999"
"2090",75646,"Male",20,"Asian","US","US",5,"Married","$100000 and Over"
"2091",75647,"Male",28,"Mexican_American","US","US",2,"Married","$45000 - $54999"
"2092",75648,"Female",18,"Other_Hispanic","Others","Other",7,"Married","$20000 - $24999"
"2093",75649,"Male",11,"White","US","US",5,"Married","$75000 - $99999"
"2094",75650,"Female",13,"Mexican_American","US","US",3,"Married","$25000 - $34999"
"2095",75651,"Male",1,"Asian","Others","Other",3,"Married","$100000 and Over"
"2096",75652,"Male",4,"Mexican_American","US","US",5,"Widowed","$25000 - $34999"
"2097",75653,"Male",40,"Black","US","US",6,"Married","$45000 - $54999"
"2098",75654,"Female",49,"Black","US","US",2,"Divorced","$15000 - $19999"
"2099",75655,"Male",29,"White","US","US",7,"Divorced","$15000 - $19999"
"2100",75656,"Female",1,"White","US","US",5,"Married","$20000 - $24999"
"2101",75657,"Female",12,"White","US","US",6,"Married","$100000 and Over"
"2102",75658,"Male",8,"Black","US","US",5,"Widowed","$75000 - $99999"
"2103",75659,"Male",15,"Black","US","US",4,"Married","$15000 - $19999"
"2104",75660,"Female",59,"Black","US","US",3,"Married","$55000 - $64999"
"2105",75661,"Male",4,"Asian","US","US",6,"Married","$45000 - $54999"
"2106",75662,"Female",44,"Other_Hispanic","US","US",4,"Married","$100000 and Over"
"2107",75663,"Female",54,"White","US","US",2,"Married","$55000 - $64999"
"2108",75664,"Female",31,"Black","US","US",2,"Never_married","$5000 - $9999"
"2109",75665,"Female",12,"Other_Hispanic","Others","Other",5,"Married","$20000 - $24999"
"2110",75666,"Male",37,"Black","US","US",4,"Married","$100000 and Over"
"2111",75667,"Female",46,"White","US","US",1,"Divorced","$5000 - $9999"
"2112",75668,"Male",10,"Mexican_American","US","US",5,"Married","$65000 - $74999"
"2113",75669,"Male",64,"Asian","Others","US",2,"Divorced","$100000 and Over"
"2114",75670,"Female",27,"Mexican_American","Others","US",2,"Married","$45000 - $54999"
"2115",75671,"Male",11,"Asian","Others","Other",3,"Widowed","$55000 - $64999"
"2116",75672,"Male",1,"Mexican_American","US","US",4,"Never_married","$20000 - $24999"
"2117",75673,"Female",6,"White","US","US",5,"Married","$100000 and Over"
"2118",75674,"Male",60,"Black","US","US",1,"Separated","$10000 - $14999"
"2119",75675,"Female",17,"Black","US","US",3,"Married","$20000 and Over"
"2120",75676,"Female",6,"Asian","US","US",6,"Divorced","$35000 - $44999"
"2121",75677,"Female",10,"Black","US","US",4,"Never_married","$25000 - $34999"
"2122",75678,"Male",10,"Other_Hispanic","US","US",6,"Widowed","$65000 - $74999"
"2123",75679,"Female",41,"White","US","US",4,"Married","$20000 - $24999"
"2124",75680,"Female",15,"White","US","US",2,"Divorced","$35000 - $44999"
"2125",75681,"Female",40,"Black","US","US",1,"Never_married","$35000 - $44999"
"2126",75682,"Male",29,"Asian","Others","US",2,"Married","$55000 - $64999"
"2127",75683,"Male",23,"Mexican_American","US","US",4,"Married","Refused"
"2128",75684,"Female",33,"White","US","US",4,"Married","$55000 - $64999"
"2129",75685,"Female",62,"Black","US","US",2,"Married","$0 - $4999"
"2130",75686,"Male",41,"White","US","US",5,"Married","$45000 - $54999"
"2131",75687,"Female",20,"White","US","US",5,"Married","$100000 and Over"
"2132",75688,"Female",57,"Other_Hispanic","Others","Other",4,"Divorced","$5000 - $9999"
"2133",75689,"Male",58,"Black","US","US",3,"Never_married","$20000 - $24999"
"2134",75690,"Male",34,"Mexican_American","Others","Other",5,"Married","$35000 - $44999"
"2135",75691,"Female",70,"Black","US","US",5,"Divorced","$15000 - $19999"
